lead_id,age,gender,platform,ad_type,interest_level,time_to_contact_hours,num_followups,product_category,lead_source,converted
31,32,Female,Facebook,Video,Medium,29.22,3,Beauty,Paid,0
32,20,Male,Facebook,Carousel,Low,65.66,2,Beauty,Paid,1
33,54,Female,TikTok,Video,Medium,11.31,2,Health,Organic,1
34,24,Female,Instagram,Image,Medium,29.55,2,Beauty,Paid,0
35,38,Female,TikTok,Image,Low,15.5,4,Finance,Organic,0
36,26,Male,Instagram,Image,High,26.93,2,Finance,Paid,1
37,56,Male,TikTok,Video,Low,34.54,0,Beauty,Paid,0
38,35,Male,TikTok,Image,Medium,1.12,2,Beauty,Organic,1
39,21,Female,Facebook,Video,Medium,24.96,3,Beauty,Paid,0
40,42,Female,Instagram,Carousel,Medium,6.17,0,Finance,Organic,0
41,31,Male,Facebook,Video,Low,26.61,2,Finance,Paid,0
42,26,Female,Instagram,Carousel,High,15.16,2,Health,Organic,0
43,43,Female,TikTok,Video,Medium,35.65,1,Health,Paid,0
44,19,Female,TikTok,Carousel,Medium,3.16,4,Health,Organic,0
45,37,Female,Instagram,Image,Medium,23.62,0,Finance,Organic,1
46,45,Female,Facebook,Carousel,Medium,7.83,1,Health,Paid,0
47,24,Male,Facebook,Image,Low,46.01,3,Beauty,Organic,0
48,25,Female,Facebook,Image,Low,63.27,4,Beauty,Paid,0
49,52,Male,Facebook,Carousel,High,135.03,0,Finance,Paid,1
50,31,Female,TikTok,Video,Low,38.15,2,Health,Organic,0
51,34,Male,TikTok,Video,Medium,33.63,0,Beauty,Organic,0
52,53,Female,TikTok,Video,High,5.83,2,Finance,Organic,1
53,57,Male,TikTok,Video,Low,9.83,4,Health,Organic,1
54,21,Female,TikTok,Video,Medium,15.04,2,Beauty,Organic,0
55,19,Male,Facebook,Image,Medium,35.63,3,Health,Paid,0
56,23,Female,Facebook,Video,Medium,59.15,2,Finance,Organic,0
57,59,Male,Facebook,Image,Low,5.03,3,Health,Paid,0
58,21,Female,Facebook,Image,Low,61.34,4,Finance,Organic,1
59,46,Male,TikTok,Image,Medium,28.55,4,Health,Organic,0
60,35,Male,TikTok,Carousel,High,22.65,0,Beauty,Organic,1
61,43,Female,TikTok,Carousel,Medium,5.35,3,Finance,Paid,0
62,51,Female,Instagram,Image,Medium,1.37,3,Finance,Organic,1
63,27,Male,Facebook,Carousel,Low,20.17,1,Finance,Paid,0
64,53,Female,Facebook,Video,Medium,25.3,1,Health,Paid,0
65,31,Male,TikTok,Video,Low,5.68,1,Health,Paid,0
66,48,Male,Facebook,Image,High,19.51,2,Beauty,Organic,0
67,32,Male,Facebook,Video,High,46.59,1,Finance,Paid,0
68,25,Female,TikTok,Image,Medium,43.25,3,Finance,Organic,1
69,31,Male,Instagram,Image,High,62.93,2,Health,Paid,1
70,40,Male,Instagram,Video,Low,10.93,4,Health,Organic,1
71,57,Female,Instagram,Carousel,Medium,9.19,0,Beauty,Paid,0
72,38,Female,TikTok,Video,Low,33.22,1,Beauty,Organic,0
73,33,Female,Facebook,Video,High,13.54,4,Health,Organic,1
74,35,Female,TikTok,Image,Low,2.2,3,Finance,Organic,1
75,41,Male,TikTok,Image,Medium,7.98,0,Beauty,Paid,1
76,43,Male,Facebook,Image,High,13.01,4,Health,Paid,1
77,42,Male,Instagram,Image,Low,8.3,0,Health,Organic,1
78,58,Male,Instagram,Carousel,Low,9.69,1,Finance,Paid,0
79,46,Female,TikTok,Carousel,Medium,8.35,3,Health,Paid,1
80,32,Male,Instagram,Carousel,Medium,1.02,0,Health,Paid,1
81,18,Male,TikTok,Image,Low,24.33,4,Beauty,Paid,1
82,42,Female,TikTok,Image,Low,21.83,1,Health,Paid,0
83,24,Male,Facebook,Image,Low,25.43,1,Health,Paid,0
84,26,Male,Facebook,Carousel,High,5.13,4,Beauty,Paid,1
85,41,Male,Facebook,Image,Medium,8.41,4,Finance,Organic,0
86,18,Male,TikTok,Video,Low,23.2,0,Finance,Organic,0
87,25,Male,Facebook,Video,Low,21.97,2,Beauty,Paid,0
88,41,Male,Instagram,Image,Low,16.94,1,Beauty,Organic,0
89,28,Female,Instagram,Video,Low,10.35,0,Finance,Organic,0
90,34,Female,TikTok,Video,Medium,58.59,4,Finance,Organic,0
91,25,Male,TikTok,Carousel,Low,9.96,0,Finance,Paid,0
92,52,Male,Facebook,Image,Low,14.59,4,Finance,Paid,0
93,52,Female,TikTok,Image,Medium,27.21,3,Finance,Paid,0
94,50,Male,TikTok,Carousel,Low,18.79,4,Beauty,Paid,0
95,22,Male,Instagram,Video,Medium,10.22,4,Health,Paid,1
96,59,Male,Instagram,Video,Medium,13.73,4,Finance,Organic,0
97,56,Female,Facebook,Image,Medium,37.97,2,Finance,Paid,1
98,58,Male,TikTok,Video,Medium,7.82,4,Health,Organic,0
99,45,Female,TikTok,Carousel,Medium,3.68,1,Health,Paid,1
100,24,Male,Instagram,Carousel,High,9.02,1,Health,Organic,1
101,26,Female,TikTok,Image,Medium,45.46,0,Health,Paid,0
102,25,Female,Instagram,Carousel,Medium,2.24,2,Health,Paid,1
103,29,Male,Facebook,Carousel,High,114.98,0,Health,Paid,0
104,51,Female,Instagram,Image,Medium,18.69,1,Beauty,Paid,0
105,50,Male,TikTok,Carousel,Low,100.55,1,Health,Paid,0
106,40,Female,Facebook,Carousel,Low,67.12,3,Health,Paid,0
107,41,Male,Instagram,Carousel,Low,14.47,4,Beauty,Organic,0
108,54,Male,Instagram,Video,High,5.31,1,Health,Paid,1
109,52,Female,Facebook,Image,Medium,4.32,0,Finance,Organic,1
110,57,Male,Facebook,Image,High,6.59,0,Finance,Paid,0
111,39,Male,Instagram,Image,Medium,29.72,4,Health,Organic,0
112,44,Female,TikTok,Video,Medium,7.65,4,Beauty,Organic,1
113,52,Male,Instagram,Video,Low,10.02,3,Finance,Organic,0
114,18,Male,Facebook,Image,Medium,14.29,2,Beauty,Organic,1
115,52,Female,Instagram,Video,Medium,58.67,0,Finance,Organic,0
116,54,Female,Facebook,Image,High,5.04,4,Health,Organic,0
117,31,Male,Facebook,Video,Low,0.12,0,Beauty,Paid,0
118,20,Male,TikTok,Carousel,Medium,1.49,4,Beauty,Organic,0
119,18,Female,Facebook,Carousel,Medium,56.43,1,Beauty,Paid,0
120,22,Female,Facebook,Image,Medium,25.03,0,Finance,Paid,0
121,43,Male,TikTok,Video,Medium,7.65,1,Finance,Organic,0
122,31,Female,Facebook,Video,Medium,4.68,0,Finance,Organic,0
123,56,Male,TikTok,Carousel,Low,8.36,2,Health,Paid,0
124,44,Male,TikTok,Carousel,Medium,2.93,3,Finance,Organic,0
125,26,Male,Facebook,Video,Medium,68.14,1,Health,Organic,0
126,32,Male,Facebook,Video,High,36.8,4,Beauty,Organic,0
127,32,Male,Instagram,Video,High,14.89,2,Beauty,Organic,0
128,43,Female,TikTok,Video,Low,48.05,0,Health,Organic,0
129,59,Female,Instagram,Video,Low,6.89,1,Finance,Organic,0
130,30,Female,Facebook,Video,High,30.31,0,Health,Organic,1
131,49,Female,Instagram,Image,Medium,46.53,0,Beauty,Paid,0
132,56,Male,TikTok,Video,High,10.59,0,Beauty,Organic,0
133,49,Male,Instagram,Carousel,Low,34.0,3,Health,Paid,0
134,21,Male,TikTok,Image,Medium,8.39,3,Finance,Paid,0
135,47,Male,Facebook,Video,High,8.52,4,Finance,Paid,1
136,54,Female,Facebook,Carousel,High,2.72,1,Health,Paid,1
137,40,Male,TikTok,Image,Low,13.92,2,Health,Organic,0
138,56,Male,Facebook,Carousel,Medium,31.4,2,Finance,Paid,0
139,32,Female,Facebook,Video,Medium,67.61,2,Beauty,Paid,1
140,46,Female,Facebook,Video,Low,22.22,0,Health,Paid,0
141,53,Female,Facebook,Video,Medium,47.73,3,Finance,Paid,0
142,30,Female,TikTok,Video,Medium,41.49,1,Finance,Paid,0
143,49,Male,Instagram,Image,High,4.57,0,Beauty,Organic,0
144,24,Male,Instagram,Image,Medium,15.96,3,Beauty,Organic,0
145,39,Female,Facebook,Carousel,Low,2.98,3,Beauty,Paid,0
146,45,Male,Instagram,Video,Low,27.51,1,Beauty,Organic,0
147,19,Male,Instagram,Carousel,Medium,71.85,1,Beauty,Organic,1
148,59,Male,Facebook,Image,Low,3.54,1,Health,Paid,1
149,23,Female,Facebook,Video,Medium,31.77,0,Finance,Paid,0
150,45,Male,Instagram,Video,Low,24.01,4,Health,Paid,0
151,45,Female,TikTok,Image,High,21.03,1,Health,Organic,0
152,37,Male,Facebook,Image,High,11.87,4,Health,Paid,1
153,47,Male,TikTok,Image,Medium,10.53,0,Health,Organic,0
154,28,Male,Instagram,Image,High,1.11,4,Health,Organic,1
155,45,Female,Facebook,Image,Medium,5.9,2,Beauty,Organic,1
156,42,Male,TikTok,Video,Medium,0.37,4,Beauty,Paid,0
157,56,Female,Facebook,Image,Low,20.9,1,Finance,Organic,0
158,50,Female,Instagram,Video,Medium,2.69,0,Health,Paid,0
159,18,Female,TikTok,Video,Medium,49.53,1,Finance,Paid,0
160,44,Male,Instagram,Image,High,17.77,2,Beauty,Paid,1
161,30,Male,Instagram,Image,Medium,28.87,1,Beauty,Paid,0
162,58,Male,Facebook,Video,High,12.7,1,Beauty,Paid,1
163,20,Male,TikTok,Image,Medium,19.74,1,Health,Organic,1
164,56,Female,Instagram,Image,Low,68.61,3,Health,Organic,0
165,23,Female,Instagram,Image,High,2.07,2,Beauty,Organic,1
166,25,Female,TikTok,Carousel,Medium,7.03,1,Finance,Organic,1
167,44,Male,Instagram,Video,Low,36.34,1,Finance,Organic,0
168,26,Female,Instagram,Carousel,Medium,2.5,1,Beauty,Paid,0
169,54,Male,TikTok,Image,Low,1.89,0,Finance,Paid,0
170,50,Female,TikTok,Carousel,Medium,10.77,3,Beauty,Organic,0
171,59,Male,TikTok,Image,Medium,2.32,0,Finance,Organic,0
172,41,Male,TikTok,Carousel,Medium,21.11,3,Beauty,Organic,0
173,32,Female,Facebook,Image,High,6.16,1,Finance,Paid,0
174,49,Female,TikTok,Carousel,Medium,54.25,2,Health,Paid,0
175,49,Female,Facebook,Carousel,Low,36.72,4,Beauty,Paid,0
176,41,Female,Facebook,Carousel,Medium,28.87,4,Beauty,Organic,0
177,58,Male,Facebook,Video,High,23.03,1,Finance,Organic,1
178,29,Female,Instagram,Carousel,Low,47.79,0,Beauty,Organic,0
179,56,Female,Facebook,Video,Low,6.06,2,Beauty,Organic,1
180,19,Female,Facebook,Image,Low,49.55,3,Beauty,Paid,0
181,20,Male,Instagram,Carousel,Low,37.4,1,Health,Organic,0
182,54,Male,Instagram,Image,High,33.1,2,Health,Organic,0
183,34,Female,Instagram,Image,Medium,19.77,2,Finance,Organic,0
184,19,Male,TikTok,Carousel,Low,6.78,3,Health,Paid,0
185,19,Female,Instagram,Video,Medium,13.22,2,Finance,Paid,0
186,45,Male,Instagram,Carousel,Low,37.87,0,Health,Organic,0
187,40,Male,Facebook,Image,High,0.78,0,Finance,Paid,1
188,54,Male,Instagram,Image,High,36.56,0,Health,Paid,0
189,49,Male,TikTok,Carousel,Low,6.59,2,Health,Paid,0
190,50,Female,Instagram,Video,High,3.74,0,Finance,Paid,0
191,18,Female,TikTok,Video,Medium,2.95,3,Beauty,Paid,0
192,36,Female,Instagram,Image,Low,0.66,2,Beauty,Organic,1
193,19,Male,Instagram,Image,Low,17.8,4,Health,Organic,0
194,43,Female,Instagram,Video,Medium,5.91,2,Finance,Organic,1
195,49,Female,Instagram,Carousel,Medium,109.2,3,Beauty,Paid,0
196,23,Female,TikTok,Image,High,20.5,4,Finance,Paid,1
197,49,Male,TikTok,Video,Medium,3.56,2,Beauty,Paid,1
198,21,Male,Facebook,Image,High,28.01,0,Finance,Paid,1
199,28,Male,TikTok,Carousel,Medium,54.73,1,Health,Organic,1
200,34,Female,Instagram,Video,High,32.81,1,Finance,Organic,1
201,55,Female,Facebook,Image,Medium,1.91,0,Beauty,Organic,0
202,41,Female,Facebook,Carousel,Low,54.29,1,Health,Organic,0
203,22,Male,Facebook,Image,Medium,37.91,1,Finance,Organic,0
204,51,Male,Instagram,Carousel,High,4.14,0,Beauty,Organic,1
205,23,Female,TikTok,Carousel,Low,1.28,0,Health,Paid,1
206,39,Male,Instagram,Video,High,19.56,2,Finance,Paid,0
207,28,Male,Facebook,Carousel,Low,4.07,2,Beauty,Organic,0
208,33,Male,Instagram,Image,Medium,43.18,0,Finance,Paid,0
209,50,Male,Instagram,Carousel,High,10.65,3,Finance,Organic,1
210,26,Female,TikTok,Carousel,Low,58.57,1,Health,Organic,0
211,23,Male,TikTok,Video,Low,20.02,2,Health,Paid,0
212,33,Male,Facebook,Carousel,Medium,4.84,1,Beauty,Organic,1
213,46,Male,Instagram,Carousel,High,3.61,4,Health,Organic,1
214,20,Male,Instagram,Image,Low,20.62,0,Beauty,Organic,0
215,37,Female,TikTok,Video,High,34.44,3,Finance,Paid,1
216,53,Female,Instagram,Video,Low,36.5,4,Finance,Paid,0
217,36,Male,Instagram,Video,High,7.74,4,Beauty,Paid,1
218,43,Male,Instagram,Carousel,High,5.48,4,Finance,Paid,1
219,20,Male,TikTok,Video,Medium,0.41,0,Health,Organic,1
220,36,Male,Facebook,Carousel,Medium,27.29,2,Finance,Paid,1
221,37,Male,Facebook,Carousel,Medium,1.91,0,Health,Paid,1
222,49,Male,Instagram,Image,Medium,13.1,2,Beauty,Paid,1
223,24,Female,Facebook,Image,Low,22.09,4,Beauty,Organic,0
224,58,Male,TikTok,Image,Low,66.39,4,Finance,Paid,0
225,50,Female,TikTok,Image,Low,8.97,3,Finance,Paid,0
226,57,Female,Facebook,Image,Medium,6.9,2,Health,Organic,1
227,56,Male,Facebook,Carousel,Low,25.48,4,Health,Organic,0
228,35,Female,Instagram,Carousel,Medium,23.17,1,Finance,Organic,0
229,57,Female,Facebook,Video,High,9.69,3,Finance,Organic,1
230,18,Female,Instagram,Carousel,Low,63.18,0,Beauty,Paid,0
231,28,Female,Instagram,Carousel,Medium,44.72,3,Beauty,Organic,0
232,45,Female,TikTok,Image,Medium,6.09,1,Beauty,Paid,0
233,42,Female,TikTok,Carousel,High,6.56,2,Finance,Paid,1
234,40,Male,TikTok,Image,High,17.23,0,Finance,Paid,0
235,48,Female,TikTok,Video,High,35.65,0,Finance,Paid,0
236,47,Female,Facebook,Video,High,1.08,2,Beauty,Paid,1
237,59,Female,TikTok,Carousel,Low,28.37,3,Finance,Organic,0
238,52,Male,Facebook,Video,High,25.08,4,Health,Paid,1
239,24,Female,TikTok,Carousel,Medium,6.32,3,Finance,Paid,0
240,33,Male,Facebook,Video,Low,27.45,1,Finance,Paid,0
241,43,Female,Instagram,Image,High,67.6,4,Finance,Organic,1
242,19,Male,Facebook,Image,Low,1.15,3,Finance,Paid,0
243,18,Male,Facebook,Image,Medium,9.24,2,Finance,Paid,1
244,29,Female,TikTok,Image,Low,13.84,1,Health,Organic,0
245,22,Female,Facebook,Carousel,Medium,55.09,1,Health,Paid,0
246,54,Male,Instagram,Video,Medium,78.65,1,Finance,Paid,0
247,49,Female,Instagram,Carousel,Medium,14.09,4,Beauty,Organic,1
248,26,Male,TikTok,Image,Medium,33.27,0,Finance,Paid,0
249,58,Male,Instagram,Carousel,Low,18.21,4,Finance,Paid,0
250,52,Male,Facebook,Video,High,18.52,3,Finance,Paid,1
251,36,Male,Instagram,Carousel,Low,7.82,0,Beauty,Paid,1
252,33,Male,TikTok,Video,Medium,5.87,3,Beauty,Paid,0
253,20,Female,Facebook,Carousel,High,8.15,0,Beauty,Organic,0
254,37,Male,TikTok,Video,High,19.5,4,Health,Organic,1
255,41,Male,Facebook,Video,Medium,0.71,1,Beauty,Organic,0
256,50,Female,Instagram,Image,Medium,57.07,2,Health,Paid,1
257,41,Male,TikTok,Video,High,4.08,1,Health,Paid,0
258,28,Female,TikTok,Image,High,5.97,4,Beauty,Paid,1
259,25,Female,Facebook,Image,Medium,17.53,0,Beauty,Organic,1
260,53,Female,TikTok,Image,Low,29.72,1,Beauty,Paid,0
261,55,Male,Facebook,Carousel,Low,2.42,4,Health,Paid,0
262,57,Male,Facebook,Carousel,Low,9.17,3,Finance,Paid,1
263,37,Male,Facebook,Carousel,Medium,83.12,2,Beauty,Organic,0
264,52,Female,Facebook,Carousel,Low,7.3,1,Beauty,Organic,1
265,42,Male,Instagram,Video,Medium,9.01,0,Beauty,Paid,0
266,52,Female,Facebook,Video,Low,43.46,3,Health,Paid,0
267,42,Male,TikTok,Carousel,Low,1.24,4,Health,Paid,1
268,46,Female,Instagram,Video,High,14.99,2,Finance,Organic,0
269,35,Male,TikTok,Video,Medium,11.46,0,Beauty,Organic,0
270,35,Male,Instagram,Image,Low,9.14,4,Health,Organic,0
271,19,Male,Facebook,Image,High,8.07,4,Finance,Paid,1
272,52,Female,Instagram,Image,Low,2.3,1,Beauty,Organic,0
273,33,Female,Instagram,Image,Medium,9.07,1,Health,Paid,1
274,58,Male,TikTok,Video,Medium,1.06,0,Beauty,Paid,1
275,53,Male,TikTok,Carousel,Low,36.44,4,Beauty,Organic,0
276,50,Female,Facebook,Video,High,12.19,1,Health,Paid,0
277,21,Female,Instagram,Video,Medium,14.08,2,Health,Organic,0
278,50,Female,Instagram,Video,Medium,53.77,2,Health,Paid,1
279,31,Male,Instagram,Image,Low,25.75,4,Beauty,Paid,0
280,38,Female,Facebook,Image,Low,0.19,1,Beauty,Organic,0
281,37,Male,Facebook,Image,High,68.83,0,Finance,Paid,0
282,25,Female,Facebook,Carousel,Low,6.5,0,Beauty,Paid,0
283,24,Male,Facebook,Video,Medium,2.73,0,Health,Paid,0
284,20,Female,Facebook,Carousel,Medium,35.08,2,Beauty,Paid,0
285,34,Female,TikTok,Image,Medium,16.66,1,Finance,Paid,1
286,50,Female,Instagram,Carousel,Low,13.65,1,Finance,Paid,0
287,29,Female,Instagram,Video,Low,6.89,2,Health,Paid,1
288,39,Female,Instagram,Video,Medium,19.03,0,Health,Paid,0
289,39,Male,Instagram,Image,Low,7.7,0,Finance,Organic,0
290,47,Female,Instagram,Image,Low,55.65,4,Finance,Organic,0
291,55,Female,Instagram,Carousel,Low,5.82,3,Finance,Paid,0
292,55,Female,Instagram,Image,Medium,51.77,1,Health,Paid,1
293,25,Male,Instagram,Image,High,19.67,1,Finance,Organic,1
294,44,Female,TikTok,Video,Low,42.31,1,Finance,Paid,0
295,44,Male,Instagram,Image,Low,29.95,3,Health,Organic,1
296,51,Female,TikTok,Image,Low,28.63,4,Beauty,Organic,1
297,38,Female,Facebook,Video,Medium,9.41,3,Beauty,Organic,1
298,47,Male,Instagram,Video,Medium,6.39,0,Finance,Paid,0
299,50,Female,Facebook,Carousel,Medium,5.68,0,Beauty,Paid,0
300,45,Male,Facebook,Image,Medium,46.71,1,Beauty,Paid,0
301,50,Male,Facebook,Video,Medium,41.21,2,Beauty,Organic,0
302,22,Female,TikTok,Carousel,High,13.94,1,Beauty,Organic,1
303,36,Male,Facebook,Carousel,High,3.41,2,Finance,Organic,0
304,21,Female,Facebook,Image,Low,11.56,3,Beauty,Paid,0
305,52,Female,Facebook,Image,Low,23.18,0,Beauty,Organic,0
306,34,Male,Instagram,Carousel,Low,14.54,2,Health,Organic,0
307,45,Male,Instagram,Video,Low,36.36,3,Finance,Paid,0
308,47,Male,TikTok,Carousel,High,145.0,0,Health,Organic,1
309,46,Male,TikTok,Image,Medium,5.09,2,Health,Organic,1
310,23,Female,Instagram,Video,Low,14.77,1,Finance,Paid,0
311,52,Female,TikTok,Video,Medium,13.53,1,Beauty,Paid,0
312,58,Male,Instagram,Carousel,Medium,8.71,1,Health,Organic,1
313,54,Female,Facebook,Image,Low,5.3,3,Finance,Paid,0
314,41,Female,Facebook,Carousel,Low,1.63,1,Beauty,Organic,1
315,46,Female,TikTok,Carousel,Medium,52.35,4,Finance,Paid,0
316,48,Female,Instagram,Carousel,Medium,13.07,0,Health,Organic,0
317,52,Male,Instagram,Video,Low,16.49,3,Beauty,Paid,0
318,50,Male,TikTok,Video,Low,59.72,1,Beauty,Organic,0
319,38,Female,Instagram,Image,Medium,35.94,0,Finance,Paid,1
320,49,Male,Facebook,Image,Low,3.36,2,Beauty,Paid,0
321,40,Male,TikTok,Carousel,Medium,20.0,1,Health,Paid,0
322,50,Male,TikTok,Carousel,Medium,14.01,0,Health,Paid,0
323,20,Female,Instagram,Carousel,Low,38.29,4,Health,Paid,0
324,35,Female,TikTok,Image,High,30.92,2,Finance,Paid,1
325,42,Female,Instagram,Video,Medium,28.14,4,Beauty,Paid,1
326,59,Male,Instagram,Video,Low,9.99,0,Beauty,Organic,1
327,48,Female,Instagram,Carousel,Medium,39.23,4,Beauty,Organic,0
328,20,Female,Instagram,Carousel,Medium,1.29,0,Health,Paid,0
329,57,Male,Instagram,Carousel,Medium,4.17,0,Beauty,Paid,1
330,41,Female,TikTok,Carousel,Low,9.81,4,Health,Organic,1
331,49,Female,Facebook,Image,High,1.92,0,Beauty,Organic,1
332,39,Male,Facebook,Video,Medium,6.43,1,Health,Paid,0
333,40,Male,TikTok,Carousel,Low,42.55,0,Beauty,Organic,0
334,19,Male,TikTok,Image,Low,71.07,3,Finance,Organic,0
335,44,Female,Facebook,Carousel,Low,8.72,0,Finance,Paid,0
336,59,Female,Facebook,Carousel,High,7.37,3,Health,Paid,1
337,19,Female,Facebook,Video,Low,7.88,0,Health,Paid,0
338,43,Male,Facebook,Carousel,Low,7.81,0,Beauty,Organic,0
339,34,Male,Facebook,Video,High,0.88,4,Beauty,Paid,1
340,57,Female,Instagram,Video,Low,62.79,1,Finance,Paid,0
341,50,Female,TikTok,Video,Low,5.77,1,Beauty,Organic,1
342,26,Male,Instagram,Image,Low,13.07,2,Health,Paid,1
343,56,Male,Facebook,Image,Low,0.23,4,Health,Organic,0
344,46,Male,Facebook,Video,Low,46.84,4,Health,Organic,0
345,59,Male,Facebook,Carousel,Medium,31.53,1,Health,Organic,1
346,43,Female,Instagram,Video,Low,70.39,4,Health,Organic,0
347,52,Male,Instagram,Carousel,Low,36.52,1,Finance,Organic,0
348,42,Female,Facebook,Video,Medium,9.03,4,Finance,Organic,1
349,41,Female,Instagram,Carousel,Medium,6.84,0,Health,Paid,0
350,30,Female,Instagram,Image,Medium,28.71,1,Beauty,Paid,0
351,24,Male,Facebook,Carousel,Medium,10.87,1,Health,Paid,1
352,53,Male,Instagram,Video,Low,20.04,3,Finance,Organic,0
353,37,Male,TikTok,Image,Medium,0.15,4,Health,Paid,1
354,18,Male,TikTok,Carousel,Medium,1.53,4,Finance,Organic,0
355,25,Female,TikTok,Carousel,Low,18.4,1,Finance,Paid,0
356,33,Male,TikTok,Carousel,High,20.04,0,Health,Organic,0
357,31,Male,Facebook,Carousel,Low,33.41,0,Health,Paid,0
358,29,Female,Facebook,Carousel,Medium,3.4,0,Beauty,Organic,1
359,40,Male,Facebook,Image,Low,17.28,4,Finance,Paid,0
360,32,Female,TikTok,Image,Medium,5.19,3,Beauty,Organic,1
361,45,Female,TikTok,Image,Medium,2.35,1,Health,Paid,1
362,51,Female,Instagram,Image,High,12.68,2,Finance,Organic,0
363,19,Female,Instagram,Video,Low,4.28,3,Beauty,Paid,0
364,49,Female,TikTok,Image,Medium,6.02,2,Beauty,Paid,1
365,40,Female,TikTok,Carousel,Medium,9.17,3,Beauty,Paid,1
366,39,Female,TikTok,Carousel,Medium,7.21,0,Health,Organic,0
367,42,Female,TikTok,Image,Medium,2.2,4,Health,Organic,1
368,39,Male,Instagram,Carousel,Medium,2.26,2,Health,Organic,0
369,39,Male,TikTok,Image,Medium,5.15,3,Finance,Organic,1
370,59,Male,Instagram,Carousel,Low,1.25,4,Health,Organic,0
371,23,Male,TikTok,Video,Medium,23.63,2,Finance,Paid,1
372,32,Female,TikTok,Video,Low,8.13,1,Beauty,Organic,0
373,54,Male,TikTok,Image,High,7.88,3,Beauty,Paid,1
374,50,Female,Instagram,Image,Medium,9.68,1,Health,Paid,1
375,25,Male,Instagram,Image,High,26.09,0,Beauty,Organic,1
376,22,Male,Facebook,Carousel,Low,49.08,1,Health,Paid,0
377,56,Male,TikTok,Image,High,34.16,1,Finance,Organic,0
378,21,Female,Facebook,Video,High,31.21,3,Beauty,Organic,1
379,23,Male,Facebook,Carousel,Medium,15.9,0,Health,Organic,1
380,49,Female,Instagram,Image,Medium,28.4,1,Beauty,Paid,0
381,47,Female,Instagram,Carousel,Low,19.31,4,Beauty,Organic,0
382,52,Male,Facebook,Carousel,High,5.85,2,Health,Organic,0
383,57,Male,TikTok,Image,Medium,5.61,1,Beauty,Organic,0
384,33,Male,Instagram,Carousel,Low,8.44,0,Beauty,Paid,0
385,30,Female,TikTok,Video,Low,58.01,1,Beauty,Organic,0
386,59,Male,TikTok,Video,High,19.03,2,Beauty,Paid,1
387,47,Female,Facebook,Carousel,High,31.77,0,Finance,Paid,0
388,36,Female,Facebook,Image,High,10.21,3,Beauty,Organic,0
389,34,Male,Facebook,Carousel,Medium,12.57,0,Beauty,Paid,0
390,36,Male,Facebook,Video,Low,3.22,3,Health,Paid,0
391,45,Female,Instagram,Carousel,Low,4.51,0,Finance,Organic,0
392,43,Female,Instagram,Carousel,Low,42.16,2,Health,Organic,0
393,54,Female,Facebook,Video,Low,21.1,2,Health,Organic,1
394,43,Male,Instagram,Carousel,Low,9.88,0,Health,Paid,0
395,40,Female,Facebook,Carousel,Low,38.97,1,Finance,Organic,0
396,26,Male,TikTok,Image,Medium,6.79,2,Health,Paid,0
397,29,Female,TikTok,Image,High,89.55,3,Health,Paid,0
398,18,Female,TikTok,Video,Medium,10.15,3,Health,Paid,1
